this is the change for window_size with loss 30.000002 % 
2,106,
1,106,
2,107,
1,107,
2,108,
4,109,
2,109,
4,110,
2,110,
1,110,
2,111,
4,112,
2,112,
1,112,
2,113,
4,114,
2,114,
1,114,
2,115,
4,116,
2,116,
4,117,
2,117,
1,117,
2,118,
4,119,
2,119,
1,119,
2,120,
4,121,
2,121,
1,121,
2,122,
4,123,
2,123,
1,123,
2,124,
4,125,
2,125,
1,125,
2,126,
4,127,
2,127,
1,127,
2,128,
4,129,
2,129,
1,129,
2,130,
4,131,
2,131,
4,132,
2,132,
1,132,
2,133,
1,133,
2,133,
1,133,
2,135,
1,135,
2,136,
1,136,
2,137,
4,138,
2,138,
1,138,
2,139,
4,140,
2,140,
1,140,
2,140,
1,140,
2,142,
1,142,
2,143,
1,143,
2,144,
4,145,
2,145,
1,145,
2,145,
1,145,
2,147,
1,147,
2,147,
1,147,
2,149,
1,149,
2,149,
1,149,
2,151,
1,151,
2,152,
4,153,
2,153,
1,153,
2,154,
4,155,
2,155,
1,155,
2,156,
4,157,
2,157,
1,157,
2,158,
4,159,
2,159,
1,159,
2,160,
4,161,
2,161,
1,161,
2,162,
4,163,
2,163,
1,163,
2,164,
4,165,
2,165,
4,166,
2,166,
1,166,
2,167,
4,168,
2,168,
1,168,
2,169,
4,170,
2,170,
1,170,
2,171,
4,172,
2,172,
1,172,
2,173,
1,173,
2,174,
4,175,
2,175,
1,175,
2,176,
1,176,
2,176,
1,176,
2,178,
1,178,
2,179,
1,179,
2,180,
4,181,
2,181,
4,182,
2,182,
1,182,
2,183,
1,183,
2,184,
4,185,
2,185,
1,185,
2,186,
4,187,
2,187,
1,187,
2,188,
4,189,
2,189,
1,189,
2,190,
1,190,
2,191,
1,191,
2,192,
4,193,
2,193,
1,193,
2,194,
1,194,
2,194,
1,194,
2,196,
1,196,
2,197,
4,198,
2,198,
1,198,
2,199,
1,199,
2,199,
1,199,
2,201,
1,201,
2,202,
4,203,
2,203,
4,204,
2,204,
1,204,
2,205,
4,206,
2,206,
1,206,
2,207,
1,207,
2,208,
4,209,
2,209,
1,209,
2,210,
4,211,
2,211,
1,211,
2,212,
4,213,
2,213,
1,213,
2,213,
1,213,
2,215,
1,215,
2,216,
4,217,
2,217,
1,217,
2,218,
1,218,
2,219,
4,220,
2,220,
1,220,
2,221,
1,221,
2,222,
4,223,
2,223,
1,223,
2,224,
4,225,
2,225,
1,225,
2,226,
4,227,
2,227,
1,227,
2,228,
4,229,
2,229,
1,229,
2,230,
1,230,
2,231,
1,231,
2,232,
4,233,
2,233,
4,234,
